danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.672,0.866,11,-3.711,0,0.0352,0.0387,0.0,0.189,0.204,110.001,audio_features,6zAT1xO068mvrxafz0LuQB,spotify:track:6zAT1xO068mvrxafz0LuQB,https://api.spotify.com/v1/tracks/6zAT1xO068mvrxafz0LuQB,https://api.spotify.com/v1/audio-analysis/6zAT1xO068mvrxafz0LuQB,168297,4
0.563,0.874,2,-4.122,1,0.0377,0.114,0.0,0.109,0.232,102.021,audio_features,1vxjmNMsJRLEhoYGpOXOXB,spotify:track:1vxjmNMsJRLEhoYGpOXOXB,https://api.spotify.com/v1/tracks/1vxjmNMsJRLEhoYGpOXOXB,https://api.spotify.com/v1/audio-analysis/1vxjmNMsJRLEhoYGpOXOXB,229198,4
0.539,0.837,9,-3.458,1,0.0385,0.0094,0.0,0.262,0.554,151.913,audio_features,77XoAnllT85lmR9WP0D8dS,spotify:track:77XoAnllT85lmR9WP0D8dS,https://api.spotify.com/v1/tracks/77XoAnllT85lmR9WP0D8dS,https://api.spotify.com/v1/audio-analysis/77XoAnllT85lmR9WP0D8dS,220881,4
0.375,0.574,7,-5.305,1,0.0315,0.143,0.0,0.11,0.406,132.025,audio_features,6EGAfJaLUFzhS4zRBIEQ2J,spotify:track:6EGAfJaLUFzhS4zRBIEQ2J,https://api.spotify.com/v1/tracks/6EGAfJaLUFzhS4zRBIEQ2J,https://api.spotify.com/v1/audio-analysis/6EGAfJaLUFzhS4zRBIEQ2J,196800,3
0.562,0.688,7,-4.474,1,0.0263,0.0763,0.0,0.0863,0.617,108.017,audio_features,4ly1QBXEwYoDmje9rmEgC4,spotify:track:4ly1QBXEwYoDmje9rmEgC4,https://api.spotify.com/v1/tracks/4ly1QBXEwYoDmje9rmEgC4,https://api.spotify.com/v1/audio-analysis/4ly1QBXEwYoDmje9rmEgC4,202347,4
0.517,0.877,4,-3.621,1,0.0297,0.00147,0.0,0.208,0.616,150.004,audio_features,1yj1ZztSGITJ5Nf4mfH92c,spotify:track:1yj1ZztSGITJ5Nf4mfH92c,https://api.spotify.com/v1/tracks/1yj1ZztSGITJ5Nf4mfH92c,https://api.spotify.com/v1/audio-analysis/1yj1ZztSGITJ5Nf4mfH92c,212850,4
0.553,0.884,2,-5.306,1,0.0771,0.0921,0.00033,0.0463,0.248,110.074,audio_features,075qcpR3BnxD5CWUIx1HTr,spotify:track:075qcpR3BnxD5CWUIx1HTr,https://api.spotify.com/v1/tracks/075qcpR3BnxD5CWUIx1HTr,https://api.spotify.com/v1/audio-analysis/075qcpR3BnxD5CWUIx1HTr,185280,4
0.62,0.869,6,-5.479,1,0.0462,0.615,0.0,0.131,0.597,126.019,audio_features,5OELUCYgOHKFAvCERnAvfS,spotify:track:5OELUCYgOHKFAvCERnAvfS,https://api.spotify.com/v1/tracks/5OELUCYgOHKFAvCERnAvfS,https://api.spotify.com/v1/audio-analysis/5OELUCYgOHKFAvCERnAvfS,216573,4
0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,audio_features,7ksAGloyLZyKThB86rErvT,spotify:track:7ksAGloyLZyKThB86rErvT,https://api.spotify.com/v1/tracks/7ksAGloyLZyKThB86rErvT,https://api.spotify.com/v1/audio-analysis/7ksAGloyLZyKThB86rErvT,222400,4
0.517,0.848,10,-4.054,1,0.0521,0.00581,0.0,0.214,0.429,95.906,audio_features,1F9kEuwT29fgqlovIclu81,spotify:track:1F9kEuwT29fgqlovIclu81,https://api.spotify.com/v1/tracks/1F9kEuwT29fgqlovIclu81,https://api.spotify.com/v1/audio-analysis/1F9kEuwT29fgqlovIclu81,188779,4
0.287,0.707,7,-6.139,1,0.0323,0.162,0.000664,0.094,0.166,129.95,audio_features,3h07iqlLvjuO8sEThw76N9,spotify:track:3h07iqlLvjuO8sEThw76N9,https://api.spotify.com/v1/tracks/3h07iqlLvjuO8sEThw76N9,https://api.spotify.com/v1/audio-analysis/3h07iqlLvjuO8sEThw76N9,223059,4
0.515,0.832,8,-5.147,1,0.0308,0.00805,2.31e-05,0.273,0.275,104.963,audio_features,1CykyU6A9tQyFmkuQdj4xg,spotify:track:1CykyU6A9tQyFmkuQdj4xg,https://api.spotify.com/v1/tracks/1CykyU6A9tQyFmkuQdj4xg,https://api.spotify.com/v1/audio-analysis/1CykyU6A9tQyFmkuQdj4xg,194286,4
0.752,0.531,1,-6.236,1,0.0568,0.0534,0.0,0.124,0.2,131.97,audio_features,0HNKMJ2EKCaT2EqcCBj1EH,spotify:track:0HNKMJ2EKCaT2EqcCBj1EH,https://api.spotify.com/v1/tracks/0HNKMJ2EKCaT2EqcCBj1EH,https://api.spotify.com/v1/audio-analysis/0HNKMJ2EKCaT2EqcCBj1EH,196011,4
0.737,0.921,1,-2.882,1,0.0786,0.153,0.0201,0.138,0.55,109.971,audio_features,5gUBKp6E6BV3hz6IbIiAoD,spotify:track:5gUBKp6E6BV3hz6IbIiAoD,https://api.spotify.com/v1/tracks/5gUBKp6E6BV3hz6IbIiAoD,https://api.spotify.com/v1/audio-analysis/5gUBKp6E6BV3hz6IbIiAoD,194506,4
0.784,0.632,10,-6.083,0,0.347,0.156,0.0,0.605,0.746,124.603,audio_features,0gO3E51A3fqp0ypJ26QbVP,spotify:track:0gO3E51A3fqp0ypJ26QbVP,https://api.spotify.com/v1/tracks/0gO3E51A3fqp0ypJ26QbVP,https://api.spotify.com/v1/audio-analysis/0gO3E51A3fqp0ypJ26QbVP,232839,4
0.619,0.589,1,-6.531,1,0.124,0.43,0.000392,0.378,0.158,143.896,audio_features,5CFJRZRq6sdKKtRwNPWbYv,spotify:track:5CFJRZRq6sdKKtRwNPWbYv,https://api.spotify.com/v1/tracks/5CFJRZRq6sdKKtRwNPWbYv,https://api.spotify.com/v1/audio-analysis/5CFJRZRq6sdKKtRwNPWbYv,174960,4
